band,tract,patch,patch_s,skymap_id,ra2000,dec2000,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec,seeing,ellipticity,ellipticity_pa,zeropt,sep_center_deg
HSC-G,15733,204,"2,4",157330204,50.22924554859549,42.39560722493084,50.36093980233368,42.29695396390745,50.3629328634634,42.49294161484825,50.09713396574778,42.49411148062159,50.09596964819107,42.29811582050165,0.6817254,0.06614845,88.13946,27.0,0.9078523004636784
HSC-G,15733,300,"3,0",157330300,49.97352782711617,41.65215572733153,50.10409775092937,41.556151073268154,50.1052454878579,41.747447663393565,49.8425612721667,41.74801740064761,49.8422038308499,41.556716943681394,0.6910871,0.012624787,-33.160843,27.0,0.14148459875929925
HSC-G,15733,301,"3,1",157330301,49.97425500316149,41.83646324807859,50.10518934000826,41.738115752563985,50.10637192639512,41.934092442795006,49.842912080579424,41.93466596316946,49.842543785961354,41.73868530093627,0.69615984,0.01636888,-83.30337,27.0,0.3252325253930846
HSC-G,15733,302,"3,2",157330302,49.974995711592534,42.023115564838456,50.10631544650485,41.9247599382884,50.10750503670462,42.120747016328544,49.84326496687596,42.12132433024156,49.84289449096203,41.92533326925904,0.70850796,0.018933654,87.17947,27.0,0.511729077934253
HSC-G,15733,303,"3,3",157330303,49.97574081345069,42.20977580068289,50.10744822181965,42.1114141161938,50.10864487823588,42.30740742244453,49.843619949572435,42.30798854027179,49.84324727292643,42.1119912401831,0.70949185,0.03827231,88.6767,27.0,0.6983172248132182
HSC-G,15733,304,"3,4",157330304,49.97649034794066,42.39643999361873,50.108587725366995,42.29807432478101,50.10979151114666,42.494069698847895,49.84397704740572,42.49465463092358,49.84360215035979,42.29865525216677,0.6855437,0.07094913,-89.90101,27.0,0.8849400832509954
HSC-G,15733,400,"4,0",157330400,49.7237256806119,41.652426079869365,49.85467516879497,41.55670347198334,49.85507024504216,41.74800383689073,49.59238102227989,41.748003765663235,49.59277628670146,41.55670340123927,0.68249613,0.018966328,-34.42048,27.0,0.2204941203458331
HSC-G,15733,401,"4,1",157330401,49.7237255897018,41.83673537685185,49.85505091771754,41.73867174167612,49.85545799000585,41.93465230934686,49.591993092633736,41.934652237646425,49.5924003588101,41.73867167047226,0.6953037,0.023271333,-65.94974,27.0,0.3665737474791699
HSC-G,15733,402,"4,2",157330402,49.7237254970999,42.02338949727153,49.85543854838104,41.925319619945626,49.85584803163109,42.12131058610524,49.59160286523211,42.12131051393052,49.59201254351857,41.92531954826887,0.70045316,0.026552891,-83.35388,27.0,0.5389505129406653
HSC-G,15733,403,"4,3",157330403,49.72372540394873,42.210051541726806,49.85582847468917,42.11197750056835,49.85624039038363,42.307974705574686,49.59121031959962,42.307974632924434,49.591622431488986,42.11197742841737,0.70928127,0.05856225,-83.15545,27.0,0.7185049611725537
HSC-G,15733,404,"4,4",157330404,49.72372531024338,42.39671754820453,49.856220717095496,42.29864142200359,49.85663508697299,42.494640705419705,49.59081543501674,42.494640632292565,49.59123000225806,42.2986413493771,0.67071414,0.07944344,-83.102104,27.0,0.9009569065368238
HSC-G,15733,500,"5,0",157330500,49.47392353529472,41.65215559212284,49.60524762458745,41.556716879674816,49.60488999509574,41.74801733620365,49.342205781908646,41.7474474565032,49.343353706989554,41.55615086778194,0.6892535,0.022795498,-25.230694,27.0,0.3832674263741819
HSC-G,15733,501,"5,1",157330501,49.4731961774396,41.83646311198154,49.60490749050668,41.738685236513646,49.604539002,41.93466589829756,49.34107915871069,41.934092234530894,49.342261938962785,41.73811554574219,0.6931517,0.018672347,-50.375664,27.0,0.482345749755958
HSC-G,15733,502,"5,2",157330502,49.47245528381541,42.02311542783938,49.60455660087744,41.92533320440858,49.604185929926565,42.12132426494055,49.33994586264678,42.120746806686874,49.341135647859865,41.92475973009305,0.7036529,0.03782258,-75.97026,27.0,0.6234999983937864
